id,JobTitle,Company,Location,PostDate,Summary,
,Python/Django Developer,Astute Softwares,Lahore,1 day ago,We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.,
,Front End Developer,Virtual Recruitment Days,Lahore,25 days ago,"Heroku, Netlify, and AWS deployment) • Understanding of the inner workings of node runtime, and modern web browsers • Client communication (written + verbal) •…",
,Project Manager,Redoya,Lahore,4 days ago,"Full Stack Developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications and working alongside…",
,Front End Web Developer - Internship / Part Time,SharpRecruits,Lahore,1 day ago,"SharpRecruits is looking for the a Front-End Web Developer.
A great internship or Part-Time opportunity for a Front End Web Developer / JavaScript Developer …",
,Web Developer,Araam.pk,Lahore,Today,"Liaise with developers, designers and system administrators to identify new features.
Demonstrable knowledge of web technologies including HTML, CSS, Javascript…",
,Front End Developer,ThinkDone Solutions,Lahore,1 day ago,"We are looking to hire an experienced Frontend Developer.
Ability to take full ownership of front-end design projects within the web application stack.",
,Front End Developer,Telelinkz Pvt. Ltd,Lahore,Today,"We are looking for Web Developer.
The right candidate will be responsible for developing, initiating, creating, and overseeing long- term web develper…",
,Front-End Developer,Emenac,Lahore,1 day ago,"Determining the structure and design of web pages.
Optimizing web pages for maximum speed and scalability.
Emenac is looking for Front-end HTML CODER with *3…",
,Web Developer,Continental Call Centre Pvt. LTD,Lahore,4 days ago,"We are urgently hiring Web Developer for our UK based organization.
Managing multiple client projects with timely deadlines.",
,Web Developer,Pi Communications,Lahore,8 days ago,"We are looking for Front end/Back end Wordpress Developer for our company.
Social distancing guidelines in place.",
,Web Developer,Rareiio,Lahore,2 days ago,"Are you a razor-sharp web developer looking for the next big challenge?
We're looking for a web developer who knows how to problem solve and get results.",
,Web Developer,Telus Network Pvt Ltd,Lahore,7 days ago,"We need a resource who have hands-on experience of 2 year at least in the below-mentioned tech stacks for a startup:
JavaScript (should have hand on it).",
,Manager Admissions,NUR International University,Lahore,14 days ago,"Writing, editing, and managing web content with web developers/ IT Department and Deans/Heads of Departments to develop and revise content, new features, and…",
,Web Developer,HS Bro. Solutions,Lahore,9 days ago,"Developing front end web architecture.
We are looking for an experienced Web Developer to build websites (E-commerce & PHP Database supported) with innovative…",
,Front End Developer,Devstudio,Lahore,Today,"Proficient understanding of web markup, including HTML5, CSS3.
Must have hands on expertise in Jscript and Jquery.
Social distancing guidelines in place.",
,Front - End Developer,CrecenTech,"Lahore, VA",30+ days ago,"Research and track advancements in mobile & web application design patterns.
Excellent understanding of user-experience design for mobile and the web,…",
,Software Developer - Internee,CrecenTech,"Lahore, VA",30+ days ago,"Knowledge of at least one developing web applications framework (JSF, Wicket, GWT, Spring MVC) is plus.
We are looking for people willing to work in Java, PHP…",
,C# Net Developer,CrecenTech,"Lahore, VA",30+ days ago,"Solid understanding and experience of how web applications work including web application lifecycles, security, session management and cashing.",
,Full Stack PHP/JS Developer,CrecenTech,"Lahore, VA",30+ days ago,,"Must have solid understanding of web application designs and system architectures.
Senior PHP developer having 4+ years of PHP, JS, JQuery, HTML and CSS…"
